"","spScName"
"555","Belonophora coffeoides"
"556","Bembrops greyi"
"557","Bembrops heterurus"
"558","Benthalbella infans"
"559","Benthodesmus tenuis"
"560","Benthosema suborbitale"
"561","Berchemia discolor"
"562","Bergia ammannioides"
"563","Berlinia bracteosa"
"564","Berlinia congolensis"
"565","Berlinia delevoyi"
"566","Berlinia giorgii"
"567","Berlinia viridicans"
"568","Bersama abyssinica"
"569","Bertiera globiceps"
"570","Bertiera racemosa"
"571","Beryx splendens"
"572","Biancaea decapetala"
"573","Bias musicus"
"574","Bicyclus anynana"
"575","Bicyclus anynana ssp. anynana"
"576","Bicyclus martius"
"577","Bicyclus safitza"
"578","Bicyclus safitza ssp. safitza"
"579","Bicyclus smithi"
"580","Biomphalaria pfeifferi"
"581","Biomphalaria salinarum"
"582","Bitis arietans"
"583","Bitis caudalis"
"584","Bitis gabonica"
"585","Bitis heraldica"
"586","Bitis nasicornis"
"587","Bixa orellana"
"588","Bleda syndactylus"
"589","Blennius normani"
"590","Blighia unijugata"
"591","Blighia welwitschii"
"592","Blyxa hexandra"
"593","Boaedon fuliginosus"
"594","Boaedon littoralis"
"595","Boaedon mentalis"
"596","Boaedon olivaceus"
"597","Bobgunnia fistuloides"
"598","Bobgunnia madagascariensis"
"599","Bocagia minuta"
"600","Bodianus speciosus"
"601","Bolbitis heudelotii"
"602","Bolboschoenus glaucus"
"603","Bolboschoenus maritimus"
"604","Bolinichthys indicus"
"605","Bolinichthys photothorax"
"606","Bolitaena pygmaea"
"607","Bombax buonopozense"
"608","Bonapartia pedaliota"
"609","Boops boops"
"610","Borassus aethiopum"
"611","Borbo borbonica"
"612","Borbo borbonica ssp. borbonica"
"613","Borbo detecta"
"614","Borbo fallax"
"615","Borbo fatuellus"
"616","Borbo fatuellus ssp. fatuellus"
"617","Borbo gemella"
"618","Borbo micans"
"619","Borostomias antarcticus"
"620","Borostomias elucens"
"621","Borostomias mononema"
"622","Boscia albitrunca"
"623","Boscia polyantha"
"624","Bostrychia hagedash"
"625","Bostrychia rara"
"626","Bostrychus africanus"
"627","Botaurus stellaris"
"628","Bothus podas"
"629","Brachiaria mutica"
"630","Brachydeuterus auritus"
"631","Brachylaena huillensis"
"632","Brachystegia bakeriana"
"633","Brachystegia boehmii"
"634","Brachystegia longifolia"
"635","Brachystegia puberula"
"636","Brachystegia spiciformis"
"637","Brachystegia tamarindoides"
"638","Brachystegia utilis"
"639","Brachystephanus jaundensis"
"640","Brachythemis lacustris"
"641","Brachythemis leucosticta"
"642","Bradornis boehmi"
"643","Bradornis comitatus"
"644","Bradornis fuliginosus"
"645","Bradornis mariquensis"
"646","Bradypterus baboecala"
"647","Bradypterus lopezi"
"648","Brama brama"
"649","Brama dussumieri"
"650","Branchiostegus semifasciatus"
"651","Bregmaceros nectabanus"
"652","Brenandendron donianum"
"653","Breonadia salicina"
"654","Breviceps adspersus"
"655","Breviceps poweri"
"656","Bridelia cathartica"
"657","Bridelia ferruginea"
"658","Bridelia micrantha"
"659","Bridelia scleroneura"
"660","Brienomyrus brachyistius"
"661","Brieya fasciculata"
"662","Brieya latipetala"
"663","Brillantaisia lamium"
"664","Brillantaisia owariensis"
"665","Brotula barbata"
"666","Brucea antidysenterica"
"667","Brycinus humilis"
"668","Brycinus imberi"
"669","Brycinus kingsleyae"
"670","Brycinus lateralis"
"671","Brycinus macrolepidotus"
"672","Bryconaethiops microstoma"
"673","Bubalornis niger"
"674","Bubo africanus"
"675","Bubo lacteus"
"676","Bubo leucostictus"
"677","Bubo poensis"
"678","Bubulcus ibis"
"679","Buccanodon duchaillui"
"680","Buchholzia tholloniana"
"681","Bucorvus leadbeateri"
"682","Buddleja salviifolia"
"683","Bufoceratias wedli"
"684","Bugeranus carunculatus"
"685","Bulbostylis angolensis"
"686","Bulbostylis hispidula"
"687","Bulbostylis igneotonsa"
"688","Bulbostylis schoenoides"
"689","Bulbostylis trabeculata"
"690","Bulinus angolensis"
"691","Bulinus canescens"
"692","Bulinus crystallinus"
"693","Bulinus forskalii"
"694","Bulinus globosus"
"695","Bulinus scalaris"
"696","Bulinus truncatus"
"697","Buphagus africanus"
"698","Buphagus erythrorynchus"
"699","Burhinus capensis"
"700","Burhinus senegalensis"
"701","Burhinus vermiculatus"
"702","Burkea africana"
"703","Burmannia madagascariensis"
"704","Burnatia enneandra"
"705","Burnupia caffra"
"706","Bussea gossweileri"
"707","Buteo augur"
"708","Buteo auguralis"
"709","Buteo buteo"
"710","Butorides striata"
"711","Buxus benguellensis"
"712","Byblia anvatara"
"713","Byblia ilithyia"
"714","Bycanistes albotibialis"
"715","Bycanistes bucinator"
"716","Bycanistes sharpii"
"717","Bycanistes subcylindricus"
"718","Caccobius ferrugineus"
"719","Caccobius nigritulus"
"720","Cacyreus lingeus"
"721","Cacyreus marshalli"
"722","Cacyreus virilis"
"723","Cadaba farinosa"
"724","Calamonastes fasciolatus"
"725","Calamonastes stierlingi"
"726","Calamonastes undosus"
"727","Calamus deerratus"
"728","Calandrella cinerea"
"729","Caldesia parnassifolia"
"730","Calendulauda africanoides"
"731","Calendulauda sabota"
"732","Calherodius leuconotus"
"733","Calidris alba"
"734","Calidris canutus"
"735","Calidris ferruginea"
"736","Calidris minuta"
"737","Calidris pugnax"
"738","Calochone acuminata"
"739","Caloncoba welwitschii"
"740","Calonectris borealis"
"741","Calonectris diomedea"
"742","Calpocalyx dinklagei"
"743","Calpurnia aurea"
"744","Calycosiphonia spathicalyx"
"745","Calyptocichla serinus"
"746","Camaroptera brachyura"
"747","Camaroptera harterti"
"748","Camaroptera superciliaris"
"749","Camoensia brevicalyx"
"750","Campephaga flava"
"751","Campephaga petiti"
"752","Campephaga quiscalina"
"753","Campethera abingoni"
"754","Campethera bennettii"
"755","Campethera cailliautii"
"756","Campethera caroli"
"757","Campethera maculosa"
"758","Campethera nivosa"
"759","Camptostylus mannii"
"760","Campylomormyrus alces"
"761","Campylomormyrus cassaicus"
"762","Campylomormyrus curvirostris"
"763","Campylomormyrus elephas"
"764","Campylomormyrus rhynchophorus"
"765","Campylomormyrus tshokwe"
"766","Campylospermum calanthum"
"767","Campylospermum dybovskii"
"768","Campylospermum elongatum"
"769","Campylospermum sulcatum"
"770","Campylospermum vogelii"
"771","Canarium schweinfurthii"
"772","Canavalia rosea"
"773","Canis adustus"
"774","Canis mesomelas"
"775","Canthidermis maculata"
"776","Canthigaster rivulata"
"777","Caperonia fistulosa"
"778","Capparis sepiaria"
"779","Capparis viminea"
"780","Caprimulgus climacurus"
"781","Caprimulgus europaeus"
"782","Caprimulgus fossii"
"783","Caprimulgus natalensis"
"784","Caprimulgus pectoralis"
"785","Caprimulgus poliocephalus"
"786","Caprimulgus rufigena"
"787","Caprimulgus tristigma"
"788","Caprimulgus vexillarius"
"789","Caprona pillaana"
"790","Caracal aurata"
"791","Caracal caracal"
"792","Caranx crysos"
"793","Caranx fischeri"
"794","Caranx hippos"
"795","Caranx rhonchus"
"796","Caranx senegallus"
"797","Carapus acus"
"798","Carcharhinus brevipinna"
"799","Carcharhinus falciformis"
"800","Carcharhinus leucas"
"801","Carcharhinus limbatus"
"802","Carcharhinus longimanus"
"803","Carcharhinus signatus"
"804","Carcharhinus signatus Eastern Atlantic subpopulation"
"805","Carcharias taurus"
"806","Carcharodon carcharias"
"807","Cardiospermum halicacabum"
"808","Cardiospermum microcarpum"
"809","Careproctus albescens"
"810","Caretta caretta"
"811","Carex cognata"
"812","Caridina amnicolizambezi"
"813","Caridina togoensis"
"814","Carissa bispinosa"
"815","Carissa spinarum"
"816","Carlarius heudelotii"
"817","Carlarius latiscutatus"
"818","Carlarius parkii"
"819","Carpolobia alba"
"820","Casearia barteri"
"821","Cassine aethiopica"
"822","Cassine buchananii"
"823","Cassine transvaalensis"
"824","Cassipourea barteri"
"825","Cassipourea carringtoniana"
"826","Cassipourea gossweileri"
"827","Cassipourea gummiflua"
"828","Cassipourea huillensis"
"829","Cassipourea nodosa"
"830","Cassipourea vilhenae"
"831","Catacroptera cloanthe"
"832","Catacroptera cloanthe ssp. cloanthe"
"833","Cataetyx bruuni"
"834","Cataetyx laticeps"
"835","Catharacta antarctica"
"836","Catophractes alexandri"
"837","Catopsilia florella"
"838","Catriscus brevirostris"
"839","Caulophryne jordani"
"840","Caulophryne polynema"
"841","Causus bilineatus"
"842","Causus lichtensteinii"
"843","Causus maculatus"
"844","Causus resimus"
"845","Causus rhombeatus"
