"","spScName"
"775","Cordia senegalensis"
"776","Cordyla pinnata"
"777","Coris atlantica"
"778","Corniger spinosus"
"779","Corvus albus"
"780","Corynanthe pachyceras"
"781","Coryphaena equiselis"
"782","Coryphaena hippurus"
"783","Coryphaenoides marshalli"
"784","Coryphaenoides zaniophorus"
"785","Coryphosima stenoptera"
"786","Corythaeola cristata"
"787","Corythornis cristatus"
"788","Corythornis leucogaster"
"789","Cossypha albicapillus"
"790","Cossypha niveicapilla"
"791","Coturnix coturnix"
"792","Coula edulis"
"793","Crassostrea tulipa"
"794","Craterispermum cerinanthum"
"795","Crateva adansonii"
"796","Cremaspora triflora"
"797","Crex egregia"
"798","Cricetomys emini"
"799","Cricetomys gambianus"
"800","Crinifer piscator"
"801","Criniger barbatus"
"802","Criniger calurus"
"803","Crinum biflorum"
"804","Crinum glaucum"
"805","Crinum jagus"
"806","Crinum lorifolium"
"807","Crinum nubicum"
"808","Crinum ornatum"
"809","Crithagra canicapilla"
"810","Crithagra gularis"
"811","Crithagra leucopygia"
"812","Crithagra mozambica"
"813","Crocidura grandiceps"
"814","Crocidura olivieri"
"815","Crocothemis divisa"
"816","Crocothemis erythraea"
"817","Crocothemis sanguinolenta"
"818","Crocuta crocuta"
"819","Cromeria occidentalis"
"820","Crossarchus platycephalus"
"821","Crossopteryx febrifuga"
"822","Crotaphopeltis hippocrepis"
"823","Crotaphopeltis hotamboeia"
"824","Croton gratissimus"
"825","Crudia klainei"
"826","Cryptopsaras couesii"
"827","Ctenogobius lepturus"
"828","Ctenopoma kingsleyae"
"829","Ctenopoma petherici"
"830","Cubiceps capensis"
"831","Cubiceps pauciradiatus"
"832","Cuculus canorus"
"833","Cuculus clamosus"
"834","Cuculus gularis"
"835","Cuculus solitarius"
"836","Culcasia dinklagei"
"837","Culcasia scandens"
"838","Culcasia striolata"
"839","Culcasia tenuifolia"
"840","Cupidopsis cissus"
"841","Cupidopsis cissus ssp. cissus"
"842","Cupidopsis jobates"
"843","Curruca cantillans"
"844","Curruca communis"
"845","Cursorius temminckii"
"846","Cussonia arborea"
"847","Cuviera acutiflora"
"848","Cyanecula svecica"
"849","Cyanomitra olivacea"
"850","Cyanomitra verticalis"
"851","Cyanotis cristata"
"852","Cyanotis lanata"
"853","Cyclanorbis senegalensis"
"854","Cyclothone acclinidens"
"855","Cyclothone alba"
"856","Cyclothone braueri"
"857","Cyclothone livida"
"858","Cyclothone microdon"
"859","Cyclothone obscura"
"860","Cyclothone pallida"
"861","Cyclothone parapallida"
"862","Cyclothone pseudoacclinidens"
"863","Cyclothone pseudopallida"
"864","Cyema atrum"
"865","Cynisca leucura"
"866","Cynoglossus browni"
"867","Cynoglossus cadenati"
"868","Cynoglossus canariensis"
"869","Cynoglossus monodi"
"870","Cynoglossus senegalensis"
"871","Cynometra megalophylla"
"872","Cynometra vogelii"
"873","Cynoponticus ferox"
"874","Cyperus alopecuroides"
"875","Cyperus alternifolius"
"876","Cyperus amabilis"
"877","Cyperus articulatus"
"878","Cyperus ascocapensis"
"879","Cyperus blepharoleptos"
"880","Cyperus castaneus"
"881","Cyperus compressus"
"882","Cyperus congensis"
"883","Cyperus cylindrostachyus"
"884","Cyperus denudatus"
"885","Cyperus difformis"
"886","Cyperus digitatus"
"887","Cyperus dilatatus"
"888","Cyperus distans"
"889","Cyperus erectus"
"890","Cyperus exaltatus"
"891","Cyperus flavescens"
"892","Cyperus haspan"
"893","Cyperus hortensis"
"894","Cyperus imbricatus"
"895","Cyperus iria"
"896","Cyperus kernii"
"897","Cyperus lanceolatus"
"898","Cyperus latifolius"
"899","Cyperus longus"
"900","Cyperus macrostachyos"
